MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 6 101506 0.0084  -0.0034 0.506 0.008
Sig_LevyArea 15m 7 101513 0.1081  0.0018  0.491 -0.009
Sig_LevyArea 30m 0 101506 -0.0006 0.0211  0.500 -0.011
Sig_LevyArea 30m 1 101506 0.0197  0.0133  0.507 -0.004
Sig_LevyArea 30m 2 101506 0.0324  0.0174  0.517 0.038
Sig_LevyArea 30m 3 101506 0.0001  0.0130  0.498 -0.016
Sig_LevyArea 30m 4 101506 0.0422  -0.0103 0.494 -0.021
Sig_LevyArea 30m 5 101506 -0.0026 0.0213  0.499 0.003
Sig_LevyArea 30m 6 101506 0.0047  -0.0104 0.507 0.010
Sig_LevyArea 30m 7 101513 0.1628  0.0072  0.494 -0.013
Sig_LevyArea 1h  0 101506 0.0002  0.0270  0.495 -0.019
Sig_LevyArea 1h  1 101506 0.0110  -0.0026 0.509 -0.006
Sig_LevyArea 1h  2 101506 0.0221  0.0221  0.524 0.048
Sig_LevyArea 1h  3 101506 0.0034  0.0108  0.496 -0.021
Sig_LevyArea 1h  4 101506 0.0433  -0.0068 0.498 -0.027
Sig_LevyArea 1h  5 101506 -0.0050 0.0179  0.504 0.008
Sig_LevyArea 1h  6 101506 -0.0017 -0.0195 0.509 0.012
Sig_LevyArea 1h  7 101513 0.1569  0.0093  0.501 -0.021

Hilbert_Phase 15m 0 101506 -0.0051 -0.0261 0.482 -0.005
Hilbert_Phase 15m 1 101506 -0.0167 -0.0316 0.483 -0.018
Hilbert_Phase 15m 2 101506 -0.0050 -0.0161 0.490 -0.003
Hilbert_Phase 15m 3 101506 0.0122  -0.0046 0.496 0.015
Hilbert_Phase 15m 4 101506 -0.0079 -0.0175 0.487 -0.009
Hilbert_Phase 15m 5 101506 -0.0062 -0.0217 0.488 -0.005
Hilbert_Phase 15m 6 101506 -0.0053 -0.0163 0.490 -0.002
Hilbert_Phase 15m 7 101513 -0.0053 -0.0398 0.473 -0.006
Hilbert_Phase 30m 0 101506 -0.0099 -0.0237 0.482 -0.012
Hilbert_Phase 30m 1 101506 -0.0097 -0.0286 0.483 -0.009
Hilbert_Phase 30m 2 101506 -0.0079 -0.0135 0.493 -0.007
Hilbert_Phase 30m 3 101506 0.0041  -0.0166 0.490 0.004
Hilbert_Phase 30m 4 101506 -0.0117 -0.0170 0.488 -0.011
Hilbert_Phase 30m 5 101506 -0.0082 -0.0220 0.486 -0.007
Hilbert_Phase 30m 6 101506 -0.0157 -0.0259 0.484 -0.014
Hilbert_Phase 30m 7 101513 -0.0009 -0.0292 0.481 -0.003
Hilbert_Phase 1h  0 101506 0.0026  -0.0131 0.489 0.002
Hilbert_Phase 1h  1 101506 -0.0088 -0.0252 0.487 -0.007
Hilbert_Phase 1h  2 101506 -0.0079 -0.0169 0.490 -0.005
Hilbert_Phase 1h  3 101506 0.0010  -0.0210 0.485 -0.000
Hilbert_Phase 1h  4 101506 -0.0100 -0.0131 0.494 -0.007
Hilbert_Phase 1h  5 101506 -0.0026 -0.0138 0.491 -0.000
Hilbert_Phase 1h  6 101506 -0.0187 -0.0268 0.481 -0.019
Hilbert_Phase 1h  7 101513 -0.0090 -0.0220 0.486 -0.010



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  270687 -0.0012   -0.0026     0.501   0.005
Hawkes_Intensity 15m     VolMed  270684 0.0011    -0.0006     0.505   0.010
Hawkes_Intensity 15m     VolHigh 270684 0.0237    0.0089      0.497   -0.004
