MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 7 109950 0.0430  -0.0036 0.504 -0.004
Sig_LevyArea 30m 0 109943 0.0382  0.0013  0.509 0.008
Sig_LevyArea 30m 1 109943 0.0240  0.0191  0.516 -0.004
Sig_LevyArea 30m 2 109943 0.0186  0.0104  0.511 0.005
Sig_LevyArea 30m 3 109943 0.0314  0.0357  0.513 0.006
Sig_LevyArea 30m 4 109943 -0.0381 0.0066  0.496 -0.013
Sig_LevyArea 30m 5 109943 -0.0281 0.0030  0.511 0.005
Sig_LevyArea 30m 6 109943 0.0041  -0.0125 0.522 0.034
Sig_LevyArea 30m 7 109950 0.0610  0.0007  0.509 -0.006
Sig_LevyArea 1h  0 109943 0.0392  0.0032  0.513 0.014
Sig_LevyArea 1h  1 109943 0.0334  0.0071  0.519 -0.008
Sig_LevyArea 1h  2 109943 0.0214  0.0269  0.515 0.007
Sig_LevyArea 1h  3 109943 0.0531  0.0429  0.517 0.005
Sig_LevyArea 1h  4 109943 -0.0420 0.0185  0.499 -0.015
Sig_LevyArea 1h  5 109943 -0.0188 -0.0006 0.519 0.011
Sig_LevyArea 1h  6 109943 0.0042  -0.0231 0.530 0.045
Sig_LevyArea 1h  7 109950 0.0301  0.0057  0.508 -0.008

Hilbert_Phase 15m 0 109943 -0.0065 -0.0222 0.485 -0.005
Hilbert_Phase 15m 1 109943 -0.0067 -0.0347 0.480 -0.008
Hilbert_Phase 15m 2 109943 -0.0106 -0.0216 0.487 -0.010
Hilbert_Phase 15m 3 109943 0.0040  -0.0048 0.501 0.006
Hilbert_Phase 15m 4 109943 0.0013  -0.0028 0.499 0.002
Hilbert_Phase 15m 5 109943 -0.0250 -0.0264 0.488 -0.026
Hilbert_Phase 15m 6 109943 0.0063  0.0039  0.502 0.013
Hilbert_Phase 15m 7 109950 0.0091  -0.0099 0.489 0.009
Hilbert_Phase 30m 0 109943 -0.0052 -0.0190 0.485 -0.003
Hilbert_Phase 30m 1 109943 -0.0055 -0.0338 0.480 -0.006
Hilbert_Phase 30m 2 109943 -0.0038 -0.0129 0.490 -0.003
Hilbert_Phase 30m 3 109943 0.0057  -0.0130 0.493 0.007
Hilbert_Phase 30m 4 109943 0.0005  -0.0101 0.495 -0.000
Hilbert_Phase 30m 5 109943 -0.0356 -0.0402 0.483 -0.038
Hilbert_Phase 30m 6 109943 -0.0033 -0.0093 0.495 0.001
Hilbert_Phase 30m 7 109950 0.0078  -0.0074 0.491 0.007
Hilbert_Phase 1h  0 109943 0.0022  -0.0129 0.490 0.005
Hilbert_Phase 1h  1 109943 -0.0049 -0.0275 0.485 -0.006
Hilbert_Phase 1h  2 109943 -0.0054 -0.0148 0.491 -0.005
Hilbert_Phase 1h  3 109943 -0.0037 -0.0143 0.495 -0.002
Hilbert_Phase 1h  4 109943 0.0046  -0.0010 0.499 0.004
Hilbert_Phase 1h  5 109943 -0.0014 -0.0043 0.499 0.001
Hilbert_Phase 1h  6 109943 -0.0072 -0.0163 0.490 -0.001
Hilbert_Phase 1h  7 109950 0.0051  -0.0042 0.496 0.006



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  293184 -0.0037   -0.0039     0.508   0.017
Hawkes_Intensity 15m     VolMed  293184 -0.0014   -0.0008     0.516   0.032
Hawkes_Intensity 15m     VolHigh 293183 0.0060    0.0114      0.504   -0.006
Hawkes_Intensity 30m     VolLow  293184 -0.0037   -0.0020     0.509   0.019
