MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 7 98744 0.0777  -0.0009 0.500 -0.010
Sig_LevyArea 30m 0 98738 0.0696  0.0201  0.502 0.014
Sig_LevyArea 30m 1 98738 0.0310  -0.0006 0.496 -0.011
Sig_LevyArea 30m 2 98738 0.0520  0.0189  0.515 0.024
Sig_LevyArea 30m 3 98738 0.0053  -0.0055 0.493 -0.013
Sig_LevyArea 30m 4 98738 0.0611  0.0027  0.499 -0.008
Sig_LevyArea 30m 5 98738 0.0030  0.0039  0.509 0.007
Sig_LevyArea 30m 6 98738 0.0080  -0.0078 0.510 0.006
Sig_LevyArea 30m 7 98744 0.1088  0.0098  0.502 -0.013
Sig_LevyArea 1h  0 98738 0.0565  0.0105  0.504 0.018
Sig_LevyArea 1h  1 98738 0.0178  -0.0054 0.500 -0.020
Sig_LevyArea 1h  2 98738 0.0528  0.0341  0.526 0.034
Sig_LevyArea 1h  3 98738 0.0313  -0.0026 0.493 -0.016
Sig_LevyArea 1h  4 98738 0.0548  0.0076  0.499 -0.009
Sig_LevyArea 1h  5 98738 0.0117  -0.0006 0.512 0.014
Sig_LevyArea 1h  6 98738 0.0166  -0.0036 0.510 0.007
Sig_LevyArea 1h  7 98744 0.0793  0.0086  0.504 -0.019

Hilbert_Phase 15m 0 98738 -0.0125 -0.0250 0.484 -0.012
Hilbert_Phase 15m 1 98738 -0.0089 -0.0237 0.483 -0.009
Hilbert_Phase 15m 2 98738 -0.0242 -0.0288 0.486 -0.023
Hilbert_Phase 15m 3 98738 0.0030  -0.0028 0.497 0.002
Hilbert_Phase 15m 4 98738 -0.0154 -0.0260 0.484 -0.018
Hilbert_Phase 15m 5 98738 -0.0041 -0.0171 0.491 -0.004
Hilbert_Phase 15m 6 98738 -0.0085 -0.0211 0.487 -0.008
Hilbert_Phase 15m 7 98744 -0.0068 -0.0296 0.480 -0.009
Hilbert_Phase 30m 0 98738 -0.0160 -0.0299 0.481 -0.016
Hilbert_Phase 30m 1 98738 0.0036  -0.0092 0.491 0.005
Hilbert_Phase 30m 2 98738 -0.0279 -0.0336 0.487 -0.030
Hilbert_Phase 30m 3 98738 0.0020  -0.0073 0.494 0.002
Hilbert_Phase 30m 4 98738 -0.0090 -0.0225 0.483 -0.009
Hilbert_Phase 30m 5 98738 0.0026  -0.0098 0.493 0.003
Hilbert_Phase 30m 6 98738 -0.0145 -0.0256 0.484 -0.015
Hilbert_Phase 30m 7 98744 0.0009  -0.0107 0.493 -0.000
Hilbert_Phase 1h  0 98738 -0.0096 -0.0210 0.486 -0.011
Hilbert_Phase 1h  1 98738 0.0002  -0.0058 0.496 0.001
Hilbert_Phase 1h  2 98738 -0.0315 -0.0389 0.481 -0.033
Hilbert_Phase 1h  3 98738 -0.0096 -0.0084 0.496 -0.011
Hilbert_Phase 1h  4 98738 0.0052  -0.0024 0.497 0.008
Hilbert_Phase 1h  5 98738 -0.0039 -0.0118 0.490 -0.004
Hilbert_Phase 1h  6 98738 -0.0124 -0.0171 0.489 -0.013
Hilbert_Phase 1h  7 98744 -0.0025 -0.0072 0.496 -0.002



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  263304 -0.0001   -0.0042     0.504   0.009
Hawkes_Intensity 15m     VolMed  263303 -0.0056   -0.0076     0.507   0.014
Hawkes_Intensity 15m     VolHigh 263303 0.0351    0.0070      0.495   -0.005
Hawkes_Intensity 30m     VolLow  263304 -0.0036   -0.0056     0.505   0.012
Hawkes_Intensity 30m     VolMed  263303 -0.0031   -0.0055     0.510   0.018
Hawkes_Intensity 30m     VolHigh 263303 0.0355    0.0118      0.495   -0.008
Hawkes_Intensity 1h      VolLow  263304 0.0000    -0.0008     0.509   0.018
Hawkes_Intensity 1h      VolMed  263303 -0.0011   -0.0001     0.513   0.025
Hawkes_Intensity 1h      VolHigh 263303 0.0362    0.0110      0.495   -0.011

Hawkes_OFI 15m VolLow  263304 -0.0137 -0.0123 0.496 -0.010
Hawkes_OFI 15m VolMed  263303 -0.0335 -0.0323 0.487 -0.027
Hawkes_OFI 15m VolHigh 263303 -0.0381 -0.0195 0.487 -0.009
Hawkes_OFI 30m VolLow  263304 -0.0098 -0.0083 0.497 -0.007
Hawkes_OFI 30m VolMed  263303 -0.0303 -0.0290 0.488 -0.025
Hawkes_OFI 30m VolHigh 263303 -0.0356 -0.0207 0.487 -0.008
Hawkes_OFI 1h  VolLow  263304 -0.0096 -0.0075 0.496 -0.008
Hawkes_OFI 1h  VolMed  263303 -0.0254 -0.0229 0.491 -0.018
Hawkes_OFI 1h  VolHigh 263303 -0.0298 -0.0263 0.484 -0.015

Sig_LevyArea 15m VolLow  263304 0.0011  -0.0021 0.504 0.009
