=== QuantDev Streaming Winning Math Report ===
Generated: 2025-12-04T15:25:34-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)

==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
OFI_Cubic_15s   	IS	47260210	0.0264	22.954	0.021	0.527	4.74	0.994	0.995	226.75	27943	-0.0747	20.0840	0.000002	0.000201	0.000106	0.004993
OFI_Cubic_15s   	OOS	22449811	0.0601	23.678	0.051	0.539	17.26	0.998	0.998	435.27	32656	-0.2469	20.5825	-0.000000	0.000140	0.000173	0.003383
OFI_DEMA_15s    	IS	47260210	0.0583	40.287	0.049	0.555	3.22	0.963	0.964	65.68	17759	0.0230	4.5178	0.000002	0.000201	0.000053	0.001087
OFI_DEMA_15s    	OOS	22449811	0.1043	37.396	0.081	0.590	10.86	0.994	0.993	119.43	13988	-0.0166	3.4272	-0.000000	0.000140	0.000050	0.000619
OFI_DEMA_5s     	IS	47260210	0.0989	54.633	0.085	0.585	3.22	0.938	0.940	32.19	10420	0.0184	6.3604	0.000002	0.000201	0.000126	0.001495
OFI_DEMA_5s     	OOS	22449811	0.1669	51.760	0.121	0.645	9.48	0.987	0.986	56.16	6814	-0.0245	5.6169	-0.000000	0.000140	0.000131	0.001083
OFI_EMA_15s     	IS	47260210	0.0410	33.052	0.034	0.541	3.02	0.972	0.972	97.31	21626	0.0280	3.2789	0.000002	0.000201	0.000027	0.000785
OFI_EMA_15s     	OOS	22449811	0.0796	31.576	0.060	0.565	11.45	0.996	0.996	177.93	17647	-0.0085	2.3324	-0.000000	0.000140	0.000026	0.000430
OFI_RSI_15s     	IS	47260210	0.0521	37.254	0.056	0.541	3.81	0.988	0.982	97.31	21626	0.0062	0.4389	0.000002	0.000201	0.000005	0.000082
OFI_RSI_15s     	OOS	22449811	0.1084	39.115	0.110	0.565	10.78	0.995	0.992	177.93	17647	0.0018	0.4197	-0.000000	0.000140	0.000006	0.000058
OFI_Raw         	IS	47260210	0.0913	68.153	0.063	0.569	0.33	0.263	0.228	3.44	689	-0.0160	8.8128	0.000002	0.000201	0.000162	0.002547
OFI_Raw         	OOS	22449811	0.1400	90.453	0.091	0.708	0.40	0.138	0.118	4.44	1061	-0.0191	5.9789	-0.000000	0.000140	0.000117	0.001292
OFI_TEMA_15s    	IS	47260210	0.0712	44.949	0.059	0.565	3.29	0.957	0.958	51.56	13403	0.0197	5.3005	0.000002	0.000201	0.000076	0.001277
OFI_TEMA_15s    	OOS	22449811	0.1228	41.494	0.096	0.606	10.44	0.993	0.992	92.84	10244	-0.0201	4.2209	-0.000000	0.000140	0.000073	0.000752
Sniper_Composite	IS	47260210	0.0349	27.236	0.027	0.527	4.20	0.991	0.990	204.43	27943	-0.0266	13.0418	0.000002	0.000201	0.000091	0.003338
Sniper_Composite	OOS	22449811	0.0661	26.524	0.054	0.540	15.02	0.998	0.998	421.17	32656	-0.1530	13.3336	-0.000000	0.000140	0.000123	0.002293
TCI_DEMA_15s    	IS	47260210	0.0358	28.963	0.045	0.529	1.06	0.977	0.965	40.14	12131	0.0061	0.3767	0.000002	0.000201	0.000003	0.000060
TCI_DEMA_15s    	OOS	22449811	0.0547	25.373	0.066	0.543	1.96	0.995	0.988	66.57	12480	0.0161	0.3254	-0.000000	0.000140	0.000002	0.000038
TCI_EMA_15s     	IS	47260210	0.0194	18.171	0.025	0.520	0.85	0.988	0.980	59.17	25608	0.0068	0.3020	0.000002	0.000201	0.000001	0.000047
TCI_EMA_15s     	OOS	22449811	0.0335	15.817	0.040	0.528	1.84	0.998	0.995	102.55	36686	0.0171	0.2574	-0.000000	0.000140	0.000001	0.000030
TCI_Raw         	IS	47260210	0.1434	63.687	0.145	0.569	0.49	0.418	0.000	3.44	689	-0.0058	1.0000	0.000002	0.000201	0.000029	0.000199
TCI_Raw         	OOS	22449811	0.3220	118.077	0.340	0.708	1.00	0.550	0.000	4.44	1061	-0.0017	1.0000	-0.000000	0.000140	0.000045	0.000133
Vel_Inst        	IS	47260210	0.1329	57.718	0.105	0.569	0.40	0.479	0.330	3.44	689	-0.1563	29.8089	0.000002	0.000201	0.000796	0.007563
Vel_Inst        	OOS	22449811	0.2522	96.987	0.177	0.708	0.53	0.408	0.293	4.44	1061	-0.1793	24.4104	-0.000000	0.000140	0.000862	0.004873

-- ETHUSDT | Horizon: 1.000s (1000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	47260210	0.0603	33.643	0.051	0.552	0.56	0.868	0.682	65.68	17759	0.1681	32.8787	0.000002	0.000252	0.000500	0.009814
Force_DEMA_15s  	OOS	22449811	0.1175	36.366	0.101	0.582	1.18	0.931	0.782	119.43	13988	0.0078	37.3051	-0.000000	0.000167	0.000731	0.007212
Impulse_15s     	IS	47260210	0.0416	26.277	0.035	0.539	0.38	0.858	0.684	97.31	21626	0.2717	31.0736	0.000002	0.000252	0.000327	0.009250
Impulse_15s     	OOS	22449811	0.0901	29.324	0.076	0.559	0.89	0.927	0.790	177.93	17647	0.0427	35.6656	-0.000000	0.000167	0.000536	0.007045
OFI_Cubic_15s   	IS	47260210	0.0264	21.168	0.021	0.526	5.96	0.994	0.995	226.75	27943	-0.0747	20.0840	0.000002	0.000252	0.000133	0.006235
OFI_Cubic_15s   	OOS	22449811	0.0502	20.631	0.043	0.535	17.16	0.998	0.998	435.27	32656	-0.2469	20.5825	-0.000000	0.000167	0.000172	0.004017
OFI_DEMA_15s    	IS	47260210	0.0574	37.395	0.050	0.552	3.97	0.963	0.964	65.68	17759	0.0230	4.5178	0.000002	0.000252	0.000065	0.001305
OFI_DEMA_15s    	OOS	22449811	0.0916	31.864	0.075	0.582	11.37	0.994	0.993	119.43	13988	-0.0166	3.4272	-0.000000	0.000167	0.000052	0.000700
OFI_DEMA_5s     	IS	47260210	0.0944	50.493	0.084	0.577	3.86	0.938	0.940	32.19	10420	0.0184	6.3604	0.000002	0.000252	0.000151	0.001804
OFI_DEMA_5s     	OOS	22449811	0.1477	45.009	0.115	0.631	9.99	0.987	0.986	56.16	6814	-0.0245	5.6169	-0.000000	0.000167	0.000138	0.001206
OFI_EMA_15s     	IS	47260210	0.0411	30.224	0.036	0.539	3.80	0.972	0.972	97.31	21626	0.0280	3.2789	0.000002	0.000252	0.000034	0.000939
OFI_EMA_15s     	OOS	22449811	0.0689	26.408	0.055	0.559	11.80	0.996	0.996	177.93	17647	-0.0085	2.3324	-0.000000	0.000167	0.000027	0.000488
OFI_RSI_15s     	IS	47260210	0.0498	33.372	0.055	0.539	4.58	0.988	0.982	97.31	21626	0.0062	0.4389	0.000002	0.000252	0.000006	0.000101
OFI_RSI_15s     	OOS	22449811	0.0945	30.920	0.098	0.559	11.20	0.995	0.992	177.93	17647	0.0018	0.4197	-0.000000	0.000167	0.000007	0.000068
OFI_Raw         	IS	47260210	0.0850	70.163	0.063	0.563	0.38	0.263	0.228	3.44	689	-0.0160	8.8128	0.000002	0.000252	0.000189	0.002993
OFI_Raw         	OOS	22449811	0.1198	76.736	0.082	0.684	0.40	0.138	0.118	4.44	1061	-0.0191	5.9789	-0.000000	0.000167	0.000119	0.001456
OFI_TEMA_15s    	IS	47260210	0.0692	41.867	0.060	0.560	4.02	0.957	0.958	51.56	13403	0.0197	5.3005	0.000002	0.000252	0.000093	0.001537
OFI_TEMA_15s    	OOS	22449811	0.1084	35.722	0.090	0.596	10.99	0.993	0.992	92.84	10244	-0.0201	4.2209	-0.000000	0.000167	0.000076	0.000848
Sniper_Composite	IS	47260210	0.0349	25.276	0.028	0.526	5.26	0.991	0.990	204.43	27943	-0.0266	13.0418	0.000002	0.000252	0.000115	0.004164
Sniper_Composite	OOS	22449811	0.0560	23.243	0.046	0.536	15.16	0.998	0.998	421.17	32656	-0.1530	13.3336	-0.000000	0.000167	0.000124	0.002701
TCI_DEMA_15s    	IS	47260210	0.0376	26.737	0.049	0.529	1.40	0.977	0.965	40.14	12131	0.0061	0.3767	0.000002	0.000252	0.000004	0.000073
TCI_DEMA_15s    	OOS	22449811	0.0510	21.984	0.062	0.540	2.18	0.995	0.988	66.57	12480	0.0161	0.3254	-0.000000	0.000167	0.000003	0.000044
TCI_EMA_15s     	IS	47260210	0.0215	16.345	0.029	0.521	1.19	0.988	0.980	59.17	25608	0.0068	0.3020	0.000002	0.000252	0.000002	0.000057
TCI_EMA_15s     	OOS	22449811	0.0310	13.416	0.037	0.526	2.03	0.998	0.995	102.55	36686	0.0171	0.2574	-0.000000	0.000167	0.000001	0.000036
TCI_Raw         	IS	47260210	0.1262	62.990	0.127	0.563	0.55	0.418	0.000	3.44	689	-0.0058	1.0000	0.000002	0.000252	0.000032	0.000250
TCI_Raw         	OOS	22449811	0.2876	107.124	0.300	0.684	1.07	0.550	0.000	4.44	1061	-0.0017	1.0000	-0.000000	0.000167	0.000048	0.000160
Vel_Inst        	IS	47260210	0.1164	56.687	0.093	0.563	0.44	0.479	0.330	3.44	689	-0.1563	29.8089	0.000002	0.000252	0.000874	0.009353
Vel_Inst        	OOS	22449811	0.2186	79.565	0.159	0.684	0.54	0.408	0.293	4.44	1061	-0.1793	24.4104	-0.000000	0.000167	0.000890	0.005611

-- ETHUSDT | Horizon: 2.000s (2000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	47260210	0.0517	28.783	0.044	0.545	0.64	0.868	0.682	65.68	17759	0.1681	32.8787	0.000002	0.000337	0.000573	0.013068
Force_DEMA_15s  	OOS	22449811	0.0953	30.383	0.083	0.568	1.19	0.931	0.782	119.43	13988	0.0078	37.3051	-0.000000	0.000207	0.000736	0.008853
Impulse_15s     	IS	47260210	0.0358	21.729	0.030	0.535	0.43	0.858	0.684	97.31	21626	0.2717	31.0736	0.000002	0.000337	0.000375	0.012363
Impulse_15s     	OOS	22449811	0.0712	23.992	0.061	0.549	0.87	0.927	0.790	177.93	17647	0.0427	35.6656	-0.000000	0.000207	0.000526	0.008627
OFI_Cubic_15s   	IS	47260210	0.0239	15.829	0.019	0.523	7.20	0.994	0.995	226.75	27943	-0.0747	20.0840	0.000002	0.000337	0.000161	0.008438
OFI_Cubic_15s   	OOS	22449811	0.0387	16.667	0.034	0.529	16.43	0.998	0.998	435.27	32656	-0.2469	20.5825	-0.000000	0.000207	0.000165	0.004848
OFI_DEMA_15s    	IS	47260210	0.0516	30.041	0.048	0.545	4.77	0.963	0.964	65.68	17759	0.0230	4.5178	0.000002	0.000337	0.000079	0.001640
OFI_DEMA_15s    	OOS	22449811	0.0758	25.659	0.067	0.568	11.68	0.994	0.993	119.43	13988	-0.0166	3.4272	-0.000000	0.000207	0.000054	0.000801
OFI_DEMA_5s     	IS	47260210	0.0833	41.799	0.078	0.565	4.55	0.938	0.940	32.19	10420	0.0184	6.3604	0.000002	0.000337	0.000178	0.002302
OFI_DEMA_5s     	OOS	22449811	0.1226	36.930	0.107	0.609	10.31	0.987	0.986	56.16	6814	-0.0245	5.6169	-0.000000	0.000207	0.000143	0.001335
OFI_EMA_15s     	IS	47260210	0.0374	23.392	0.035	0.535	4.62	0.972	0.972	97.31	21626	0.0280	3.2789	0.000002	0.000337	0.000041	0.001177
OFI_EMA_15s     	OOS	22449811	0.0558	20.547	0.049	0.549	11.88	0.996	0.996	177.93	17647	-0.0085	2.3324	-0.000000	0.000207	0.000027	0.000555
OFI_RSI_15s     	IS	47260210	0.0437	27.513	0.049	0.535	5.36	0.988	0.982	97.31	21626	0.0062	0.4389	0.000002	0.000337	0.000006	0.000133
OFI_RSI_15s     	OOS	22449811	0.0766	24.403	0.082	0.549	11.28	0.995	0.992	177.93	17647	0.0018	0.4197	-0.000000	0.000207	0.000007	0.000082
OFI_Raw         	IS	47260210	0.0746	67.437	0.058	0.555	0.45	0.263	0.228	3.44	689	-0.0160	8.8128	0.000002	0.000337	0.000221	0.003817
OFI_Raw         	OOS	22449811	0.0989	64.989	0.071	0.652	0.42	0.138	0.118	4.44	1061	-0.0191	5.9789	-0.000000	0.000207	0.000123	0.001724
OFI_TEMA_15s    	IS	47260210	0.0620	34.115	0.057	0.552	4.80	0.957	0.958	51.56	13403	0.0197	5.3005	0.000002	0.000337	0.000111	0.001943
OFI_TEMA_15s    	OOS	22449811	0.0902	29.149	0.082	0.580	11.35	0.993	0.992	92.84	10244	-0.0201	4.2209	-0.000000	0.000207	0.000079	0.000965
Sniper_Composite	IS	47260210	0.0314	19.576	0.025	0.523	6.33	0.991	0.990	204.43	27943	-0.0266	13.0418	0.000002	0.000337	0.000138	0.005617
Sniper_Composite	OOS	22449811	0.0446	19.080	0.038	0.529	14.98	0.998	0.998	421.17	32656	-0.1530	13.3336	-0.000000	0.000207	0.000123	0.003210
TCI_DEMA_15s    	IS	47260210	0.0347	20.514	0.046	0.526	1.72	0.977	0.965	40.14	12131	0.0061	0.3767	0.000002	0.000337	0.000004	0.000095
TCI_DEMA_15s    	OOS	22449811	0.0440	17.227	0.055	0.532	2.34	0.995	0.988	66.57	12480	0.0161	0.3254	-0.000000	0.000207	0.000003	0.000054
TCI_EMA_15s     	IS	47260210	0.0204	11.946	0.028	0.519	1.50	0.988	0.980	59.17	25608	0.0068	0.3020	0.000002	0.000337	0.000002	0.000074
TCI_EMA_15s     	OOS	22449811	0.0261	9.791	0.032	0.521	2.13	0.998	0.995	102.55	36686	0.0171	0.2574	-0.000000	0.000207	0.000001	0.000043
TCI_Raw         	IS	47260210	0.1060	61.256	0.107	0.555	0.61	0.418	0.000	3.44	689	-0.0058	1.0000	0.000002	0.000337	0.000036	0.000335
TCI_Raw         	OOS	22449811	0.2445	95.996	0.252	0.652	1.13	0.550	0.000	4.44	1061	-0.0017	1.0000	-0.000000	0.000207	0.000051	0.000201
Vel_Inst        	IS	47260210	0.0983	55.101	0.080	0.555	0.50	0.479	0.330	3.44	689	-0.1563	29.8089	0.000002	0.000337	0.000986	0.012379
Vel_Inst        	OOS	22449811	0.1819	66.896	0.137	0.652	0.56	0.408	0.293	4.44	1061	-0.1793	24.4104	-0.000000	0.000207	0.000920	0.006716

-- ETHUSDT | Horizon: 5.000s (5000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	47260210	0.0266	15.780	0.023	0.532	0.49	0.868	0.682	65.68	17759	0.1681	32.8787	0.000005	0.000502	0.000439	0.019252
Force_DEMA_15s  	OOS	22449811	0.0589	19.852	0.053	0.545	1.00	0.931	0.782	119.43	13988	0.0078	37.3051	0.000001	0.000279	0.000614	0.011654
Impulse_15s     	IS	47260210	0.0145	9.741	0.012	0.524	0.26	0.858	0.684	97.31	21626	0.2717	31.0736	0.000005	0.000502	0.000228	0.018266
Impulse_15s     	OOS	22449811	0.0408	14.264	0.036	0.532	0.68	0.927	0.790	177.93	17647	0.0427	35.6656	0.000001	0.000279	0.000407	0.011257
OFI_Cubic_15s   	IS	47260210	0.0101	6.063	0.008	0.516	4.52	0.994	0.995	226.75	27943	-0.0747	20.0840	0.000005	0.000502	0.000101	0.012782
OFI_Cubic_15s   	OOS	22449811	0.0196	9.008	0.017	0.519	11.21	0.998	0.998	435.27	32656	-0.2469	20.5825	0.000001	0.000279	0.000113	0.006667
OFI_DEMA_15s    	IS	47260210	0.0329	16.209	0.032	0.532	4.53	0.963	0.964	65.68	17759	0.0230	4.5178	0.000005	0.000502	0.000075	0.002320
OFI_DEMA_15s    	OOS	22449811	0.0517	16.325	0.047	0.545	10.75	0.994	0.993	119.43	13988	-0.0166	3.4272	0.000001	0.000279	0.000050	0.001062
OFI_DEMA_5s     	IS	47260210	0.0556	27.377	0.054	0.546	4.53	0.938	0.940	32.19	10420	0.0184	6.3604	0.000005	0.000502	0.000178	0.003261
OFI_DEMA_5s     	OOS	22449811	0.0859	25.494	0.081	0.574	9.74	0.987	0.986	56.16	6814	-0.0245	5.6169	0.000001	0.000279	0.000135	0.001657
OFI_EMA_15s     	IS	47260210	0.0225	10.446	0.022	0.524	4.16	0.972	0.972	97.31	21626	0.0280	3.2789	0.000005	0.000502	0.000037	0.001667
OFI_EMA_15s     	OOS	22449811	0.0356	11.709	0.031	0.532	10.21	0.996	0.996	177.93	17647	-0.0085	2.3324	0.000001	0.000279	0.000023	0.000739
OFI_RSI_15s     	IS	47260210	0.0250	13.334	0.028	0.524	4.58	0.988	0.982	97.31	21626	0.0062	0.4389	0.000005	0.000502	0.000006	0.000196
OFI_RSI_15s     	OOS	22449811	0.0489	14.325	0.053	0.532	9.70	0.995	0.992	177.93	17647	0.0018	0.4197	0.000001	0.000279	0.000006	0.000108
OFI_Raw         	IS	47260210	0.0497	55.002	0.040	0.542	0.45	0.263	0.228	3.44	689	-0.0160	8.8128	0.000005	0.000502	0.000220	0.005520
OFI_Raw         	OOS	22449811	0.0700	52.926	0.056	0.605	0.40	0.138	0.118	4.44	1061	-0.0191	5.9789	0.000001	0.000279	0.000117	0.002085
OFI_TEMA_15s    	IS	47260210	0.0403	19.866	0.039	0.536	4.66	0.957	0.958	51.56	13403	0.0197	5.3005	0.000005	0.000502	0.000107	0.002750
OFI_TEMA_15s    	OOS	22449811	0.0627	19.343	0.059	0.553	10.65	0.993	0.992	92.84	10244	-0.0201	4.2209	0.000001	0.000279	0.000074	0.001259
Sniper_Composite	IS	47260210	0.0152	8.662	0.012	0.516	4.56	0.991	0.990	204.43	27943	-0.0266	13.0418	0.000005	0.000502	0.000099	0.008459
Sniper_Composite	OOS	22449811	0.0261	11.056	0.022	0.519	11.84	0.998	0.998	421.17	32656	-0.1530	13.3336	0.000001	0.000279	0.000097	0.004372
TCI_DEMA_15s    	IS	47260210	0.0234	9.678	0.032	0.517	1.74	0.977	0.965	40.14	12131	0.0061	0.3767	0.000005	0.000502	0.000004	0.000138
TCI_DEMA_15s    	OOS	22449811	0.0299	8.704	0.037	0.519	2.15	0.995	0.988	66.57	12480	0.0161	0.3254	0.000001	0.000279	0.000003	0.000073
TCI_EMA_15s     	IS	47260210	0.0129	3.619	0.019	0.513	1.43	0.988	0.980	59.17	25608	0.0068	0.3020	0.000005	0.000502	0.000002	0.000107
TCI_EMA_15s     	OOS	22449811	0.0161	3.062	0.020	0.512	1.79	0.998	0.995	102.55	36686	0.0171	0.2574	0.000001	0.000279	0.000001	0.000058
TCI_Raw         	IS	47260210	0.0696	51.250	0.070	0.542	0.60	0.418	0.000	3.44	689	-0.0058	1.0000	0.000005	0.000502	0.000035	0.000501
TCI_Raw         	OOS	22449811	0.1812	73.009	0.184	0.605	1.13	0.550	0.000	4.44	1061	-0.0017	1.0000	0.000001	0.000279	0.000051	0.000275
Vel_Inst        	IS	47260210	0.0629	45.071	0.052	0.542	0.48	0.479	0.330	3.44	689	-0.1563	29.8089	0.000005	0.000502	0.000941	0.018246
Vel_Inst        	OOS	22449811	0.1297	51.731	0.105	0.605	0.54	0.408	0.293	4.44	1061	-0.1793	24.4104	0.000001	0.000279	0.000885	0.008403

-- ETHUSDT | Horizon: 10.000s (10000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	47260210	0.0097	6.813	0.009	0.520	0.24	0.868	0.682	65.68	17759	0.1681	32.8787	0.000008	0.000668	0.000215	0.024942
Force_DEMA_15s  	OOS	22449811	0.0374	11.795	0.034	0.528	0.82	0.931	0.782	119.43	13988	0.0078	37.3051	0.000001	0.000364	0.000508	0.014902
Impulse_15s     	IS	47260210	-0.0006	1.632	-0.000	0.514	-0.01	0.858	0.684	97.31	21626	0.2717	31.0736	0.000008	0.000668	-0.000009	0.023589
Impulse_15s     	OOS	22449811	0.0224	6.875	0.020	0.520	0.48	0.927	0.790	177.93	17647	0.0427	35.6656	0.000001	0.000364	0.000291	0.014334
OFI_Cubic_15s   	IS	47260210	-0.0008	-0.457	-0.001	0.510	-0.51	0.994	0.995	226.75	27943	-0.0747	20.0840	0.000008	0.000668	-0.000011	0.016891
OFI_Cubic_15s   	OOS	22449811	0.0105	4.766	0.009	0.511	7.80	0.998	0.998	435.27	32656	-0.2469	20.5825	0.000001	0.000364	0.000078	0.008668
OFI_DEMA_15s    	IS	47260210	0.0193	7.109	0.019	0.520	3.55	0.963	0.964	65.68	17759	0.0230	4.5178	0.000008	0.000668	0.000058	0.003000
OFI_DEMA_15s    	OOS	22449811	0.0366	9.313	0.033	0.528	9.91	0.994	0.993	119.43	13988	-0.0166	3.4272	0.000001	0.000364	0.000046	0.001363
OFI_DEMA_5s     	IS	47260210	0.0383	18.371	0.040	0.532	4.15	0.938	0.940	32.19	10420	0.0184	6.3604	0.000008	0.000668	0.000163	0.004067
OFI_DEMA_5s     	OOS	22449811	0.0626	17.936	0.062	0.548	9.25	0.987	0.986	56.16	6814	-0.0245	5.6169	0.000001	0.000364	0.000128	0.002054
OFI_EMA_15s     	IS	47260210	0.0109	1.891	0.011	0.514	2.70	0.972	0.972	97.31	21626	0.0280	3.2789	0.000008	0.000668	0.000024	0.002180
OFI_EMA_15s     	OOS	22449811	0.0237	5.335	0.021	0.520	8.85	0.996	0.996	177.93	17647	-0.0085	2.3324	0.000001	0.000364	0.000020	0.000941
OFI_RSI_15s     	IS	47260210	0.0110	4.107	0.013	0.514	2.70	0.988	0.982	97.31	21626	0.0062	0.4389	0.000008	0.000668	0.000003	0.000255
OFI_RSI_15s     	OOS	22449811	0.0324	7.109	0.036	0.520	8.40	0.995	0.992	177.93	17647	0.0018	0.4197	0.000001	0.000364	0.000005	0.000139
OFI_Raw         	IS	47260210	0.0373	46.581	0.031	0.534	0.45	0.263	0.228	3.44	689	-0.0160	8.8128	0.000008	0.000668	0.000219	0.007183
OFI_Raw         	OOS	22449811	0.0504	42.132	0.043	0.575	0.37	0.138	0.118	4.44	1061	-0.0191	5.9789	0.000001	0.000364	0.000110	0.002540
OFI_TEMA_15s    	IS	47260210	0.0256	10.645	0.026	0.523	3.94	0.957	0.958	51.56	13403	0.0197	5.3005	0.000008	0.000668	0.000091	0.003517
OFI_TEMA_15s    	OOS	22449811	0.0451	12.005	0.043	0.534	9.97	0.993	0.992	92.84	10244	-0.0201	4.2209	0.000001	0.000364	0.000069	0.001616
Sniper_Composite	IS	47260210	0.0022	1.324	0.002	0.510	0.87	0.991	0.990	204.43	27943	-0.0266	13.0418	0.000008	0.000668	0.000019	0.011259
Sniper_Composite	OOS	22449811	0.0166	6.272	0.014	0.512	9.76	0.998	0.998	421.17	32656	-0.1530	13.3336	0.000001	0.000364	0.000080	0.005681
TCI_DEMA_15s    	IS	47260210	0.0164	3.733	0.023	0.511	1.63	0.977	0.965	40.14	12131	0.0061	0.3767	0.000008	0.000668	0.000004	0.000184
TCI_DEMA_15s    	OOS	22449811	0.0214	2.526	0.027	0.512	2.01	0.995	0.988	66.57	12480	0.0161	0.3254	0.000001	0.000364	0.000003	0.000096
TCI_EMA_15s     	IS	47260210	0.0082	-1.023	0.012	0.509	1.23	0.988	0.980	59.17	25608	0.0068	0.3020	0.000008	0.000668	0.000002	0.000142
TCI_EMA_15s     	OOS	22449811	0.0107	-1.558	0.014	0.508	1.57	0.998	0.995	102.55	36686	0.0171	0.2574	0.000001	0.000364	0.000001	0.000075
TCI_Raw         	IS	47260210	0.0515	44.415	0.051	0.534	0.59	0.418	0.000	3.44	689	-0.0058	1.0000	0.000008	0.000668	0.000034	0.000667
TCI_Raw         	OOS	22449811	0.1353	60.990	0.137	0.575	1.10	0.550	0.000	4.44	1061	-0.0017	1.0000	0.000001	0.000364	0.000049	0.000361
Vel_Inst        	IS	47260210	0.0458	38.793	0.038	0.534	0.46	0.479	0.330	3.44	689	-0.1563	29.8089	0.000008	0.000668	0.000910	0.023962
Vel_Inst        	OOS	22449811	0.0938	42.401	0.079	0.575	0.51	0.408	0.293	4.44	1061	-0.1793	24.4104	0.000001	0.000364	0.000833	0.010499

