=== QuantDev Streaming Winning Math Report ===
Generated: 2025-12-04T15:25:34-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)

==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
OFI_Cubic_15s   	OOS	22537460	0.0812	29.442	0.063	0.570	30.21	0.998	0.999	432.69	15223	-0.0167	2.3503	0.000000	0.000143	0.000027	0.000433
OFI_DEMA_15s    	IS	48439754	0.0573	34.248	0.055	0.552	6.56	0.987	0.986	92.63	20369	0.0011	0.3948	0.000001	0.000216	0.000005	0.000089
OFI_DEMA_15s    	OOS	22537460	0.1291	40.734	0.106	0.629	15.56	0.995	0.994	116.45	9225	-0.0038	0.2913	0.000000	0.000143	0.000005	0.000051
OFI_DEMA_5s     	IS	48439754	0.0812	46.633	0.075	0.576	5.62	0.976	0.975	42.68	9378	0.0015	0.6795	0.000001	0.000216	0.000012	0.000158
OFI_DEMA_5s     	OOS	22537460	0.1587	50.721	0.115	0.676	12.99	0.991	0.991	52.21	7841	-0.0061	0.6057	0.000000	0.000143	0.000014	0.000119
OFI_EMA_15s     	IS	48439754	0.0451	27.856	0.045	0.539	6.79	0.990	0.989	138.41	22444	0.0010	0.2607	0.000001	0.000216	0.000003	0.000057
OFI_EMA_15s     	OOS	22537460	0.1127	35.499	0.096	0.602	16.80	0.996	0.996	176.69	12101	-0.0027	0.1761	0.000000	0.000143	0.000003	0.000029
OFI_RSI_15s     	IS	48439754	0.0500	30.452	0.057	0.539	5.74	0.994	0.990	138.41	22444	0.0006	0.4112	0.000001	0.000216	0.000004	0.000078
OFI_RSI_15s     	OOS	22537460	0.1423	41.424	0.149	0.602	14.58	0.996	0.992	176.69	12101	-0.0050	0.4577	0.000000	0.000143	0.000009	0.000062
OFI_Raw         	IS	48439754	0.0656	86.771	0.038	0.553	0.34	0.109	0.093	3.11	1103	-0.0011	1.2637	0.000001	0.000216	0.000018	0.000472
OFI_Raw         	OOS	22537460	0.0832	88.490	0.047	0.681	0.36	0.065	0.060	3.94	1967	-0.0009	0.7498	0.000000	0.000143	0.000009	0.000188
OFI_TEMA_15s    	IS	48439754	0.0653	38.311	0.061	0.560	6.32	0.984	0.983	71.34	15912	0.0012	0.4947	0.000001	0.000216	0.000007	0.000113
OFI_TEMA_15s    	OOS	22537460	0.1392	44.027	0.110	0.644	14.74	0.994	0.993	89.21	8509	-0.0045	0.3888	0.000000	0.000143	0.000008	0.000070
Sniper_Composite	IS	48439754	0.0399	25.200	0.032	0.528	10.73	0.996	0.996	320.43	29050	0.0009	1.5400	0.000001	0.000216	0.000013	0.000414
Sniper_Composite	OOS	22537460	0.0921	32.444	0.072	0.570	25.96	0.998	0.998	420.90	15223	-0.0114	1.3343	0.000000	0.000143	0.000018	0.000243
TCI_DEMA_15s    	IS	48439754	0.0360	24.288	0.050	0.528	1.53	0.990	0.981	52.41	19093	0.0067	0.3273	0.000001	0.000216	0.000003	0.000051
TCI_DEMA_15s    	OOS	22537460	0.0728	25.796	0.075	0.563	2.47	0.995	0.987	62.85	21454	-0.0095	0.3374	0.000000	0.000143	0.000004	0.000046
TCI_EMA_15s     	IS	48439754	0.0227	14.369	0.032	0.520	1.46	0.995	0.990	78.93	20009	0.0070	0.2592	0.000001	0.000216	0.000001	0.000039
TCI_EMA_15s     	OOS	22537460	0.0489	16.870	0.053	0.546	2.57	0.998	0.995	98.00	28066	-0.0093	0.2700	0.000000	0.000143	0.000002	0.000035
TCI_Raw         	IS	48439754	0.1233	73.583	0.124	0.553	0.41	0.357	0.000	3.11	1103	-0.0019	1.0000	0.000001	0.000216	0.000027	0.000214
TCI_Raw         	OOS	22537460	0.2942	101.701	0.308	0.681	0.83	0.492	0.000	3.94	1967	-0.0093	1.0000	0.000000	0.000143	0.000042	0.000137
Vel_Inst        	IS	48439754	0.0956	63.522	0.066	0.553	0.33	0.381	0.286	3.11	1103	-0.0747	17.7849	0.000001	0.000216	0.000367	0.005543
Vel_Inst        	OOS	22537460	0.1674	75.267	0.101	0.681	0.45	0.290	0.239	3.94	1967	-0.0450	11.5836	0.000000	0.000143	0.000277	0.002745

-- BTCUSDT | Horizon: 2.000s (2000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	48439754	0.0623	27.013	0.052	0.547	0.93	0.871	0.815	92.63	20369	-0.0086	15.2088	0.000001	0.000288	0.000273	0.005290
Force_DEMA_15s  	OOS	22537460	0.1616	37.659	0.127	0.617	2.67	0.942	0.914	116.45	9225	-0.0557	14.6733	-0.000000	0.000171	0.000406	0.003203
Impulse_15s     	IS	48439754	0.0471	21.066	0.039	0.535	0.71	0.864	0.813	138.41	22444	0.0041	12.1704	0.000001	0.000288	0.000165	0.004184
Impulse_15s     	OOS	22537460	0.1315	32.064	0.104	0.593	2.18	0.940	0.914	176.69	12101	-0.0864	10.9292	-0.000000	0.000171	0.000246	0.002359
OFI_Cubic_15s   	IS	48439754	0.0281	15.904	0.022	0.524	14.78	0.997	0.998	340.74	29050	0.0006	2.7652	0.000001	0.000288	0.000022	0.001021
OFI_Cubic_15s   	OOS	22537460	0.0747	26.513	0.059	0.563	33.31	0.998	0.999	432.69	15223	-0.0167	2.3503	-0.000000	0.000171	0.000030	0.000511
OFI_DEMA_15s    	IS	48439754	0.0509	27.158	0.049	0.547	7.78	0.987	0.986	92.63	20369	0.0011	0.3948	0.000001	0.000288	0.000006	0.000118
OFI_DEMA_15s    	OOS	22537460	0.1198	35.779	0.100	0.617	17.29	0.995	0.994	116.45	9225	-0.0038	0.2913	-0.000000	0.000171	0.000006	0.000060
OFI_DEMA_5s     	IS	48439754	0.0699	38.461	0.067	0.566	6.47	0.976	0.975	42.68	9378	0.0015	0.6795	0.000001	0.000288	0.000014	0.000203
OFI_DEMA_5s     	OOS	22537460	0.1459	44.865	0.113	0.658	14.31	0.991	0.991	52.21	7841	-0.0061	0.6057	-0.000000	0.000171	0.000015	0.000134
OFI_EMA_15s     	IS	48439754	0.0402	20.989	0.040	0.535	8.10	0.990	0.989	138.41	22444	0.0010	0.2607	0.000001	0.000288	0.000003	0.000076
OFI_EMA_15s     	OOS	22537460	0.1045	31.111	0.090	0.593	18.68	0.996	0.996	176.69	12101	-0.0027	0.1761	-0.000000	0.000171	0.000003	0.000035
OFI_RSI_15s     	IS	48439754	0.0428	24.056	0.049	0.535	6.57	0.994	0.990	138.41	22444	0.0006	0.4112	0.000001	0.000288	0.000005	0.000103
OFI_RSI_15s     	OOS	22537460	0.1302	36.208	0.141	0.593	15.98	0.996	0.992	176.69	12101	-0.0050	0.4577	-0.000000	0.000171	0.000010	0.000072
OFI_Raw         	IS	48439754	0.0561	76.661	0.035	0.550	0.39	0.109	0.093	3.11	1103	-0.0011	1.2637	0.000001	0.000288	0.000020	0.000582
OFI_Raw         	OOS	22537460	0.0745	81.576	0.046	0.662	0.39	0.065	0.060	3.94	1967	-0.0009	0.7498	-0.000000	0.000171	0.000010	0.000207
OFI_TEMA_15s    	IS	48439754	0.0576	30.988	0.055	0.553	7.44	0.984	0.983	71.34	15912	0.0012	0.4947	0.000001	0.000288	0.000008	0.000150
OFI_TEMA_15s    	OOS	22537460	0.1287	38.745	0.105	0.630	16.33	0.994	0.993	89.21	8509	-0.0045	0.3888	-0.000000	0.000171	0.000009	0.000082
Sniper_Composite	IS	48439754	0.0344	18.996	0.027	0.525	12.36	0.996	0.996	320.43	29050	0.0009	1.5400	0.000001	0.000288	0.000015	0.000561
Sniper_Composite	OOS	22537460	0.0849	29.201	0.067	0.564	28.67	0.998	0.998	420.90	15223	-0.0114	1.3343	-0.000000	0.000171	0.000019	0.000288
TCI_DEMA_15s    	IS	48439754	0.0339	18.446	0.048	0.526	1.93	0.990	0.981	52.41	19093	0.0067	0.3273	0.000001	0.000288	0.000003	0.000066
TCI_DEMA_15s    	OOS	22537460	0.0695	22.967	0.076	0.558	2.82	0.995	0.987	62.85	21454	-0.0095	0.3374	-0.000000	0.000171	0.000004	0.000053
TCI_EMA_15s     	IS	48439754	0.0219	10.022	0.032	0.519	1.89	0.995	0.990	78.93	20009	0.0070	0.2592	0.000001	0.000288	0.000002	0.000052
TCI_EMA_15s     	OOS	22537460	0.0463	14.957	0.053	0.542	2.93	0.998	0.995	98.00	28066	-0.0093	0.2700	-0.000000	0.000171	0.000002	0.000041
TCI_Raw         	IS	48439754	0.1039	68.217	0.104	0.550	0.47	0.357	0.000	3.11	1103	-0.0019	1.0000	0.000001	0.000288	0.000030	0.000287
TCI_Raw         	OOS	22537460	0.2679	93.602	0.278	0.662	0.90	0.492	0.000	3.94	1967	-0.0093	1.0000	-0.000000	0.000171	0.000046	0.000165
Vel_Inst        	IS	48439754	0.0812	58.430	0.057	0.550	0.37	0.381	0.286	3.11	1103	-0.0747	17.7849	0.000001	0.000288	0.000416	0.007281
Vel_Inst        	OOS	22537460	0.1484	67.535	0.094	0.662	0.48	0.290	0.239	3.94	1967	-0.0450	11.5836	-0.000000	0.000171	0.000294	0.003117

-- BTCUSDT | Horizon: 5.000s (5000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
