MODEL            HORIZON TrainN TestN PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------ ----- --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 7 4061 0.1307  0.0959  0.475 -0.092
Sig_LevyArea 30m 0 4058 0.0528  0.0630  0.502 0.041
Sig_LevyArea 30m 1 4058 -0.0016 -0.0080 0.516 0.059
Sig_LevyArea 30m 2 4058 -0.0360 -0.0679 0.495 -0.067
Sig_LevyArea 30m 3 4058 -0.1154 0.0156  0.500 -0.023
Sig_LevyArea 30m 4 4058 -0.0218 0.0256  0.503 -0.071
Sig_LevyArea 30m 5 4058 -0.1480 0.0083  0.505 -0.048
Sig_LevyArea 30m 6 4058 -0.0653 -0.0468 0.563 0.074
Sig_LevyArea 30m 7 4061 0.2072  0.1753  0.469 -0.134
Sig_LevyArea 1h  0 4058 0.0190  0.0687  0.537 0.070
Sig_LevyArea 1h  1 4058 -0.0004 0.0085  0.534 0.062
Sig_LevyArea 1h  2 4058 -0.0482 -0.0282 0.509 -0.072
Sig_LevyArea 1h  3 4058 -0.0898 0.0427  0.513 -0.036
Sig_LevyArea 1h  4 4058 -0.0806 0.0832  0.468 -0.129
Sig_LevyArea 1h  5 4058 -0.1201 -0.0498 0.515 -0.060
Sig_LevyArea 1h  6 4058 -0.1032 -0.0314 0.599 0.095
Sig_LevyArea 1h  7 4061 0.3119  0.2463  0.429 -0.210

Hilbert_Phase 15m 0 4058 0.0103  -0.0057 0.483 0.004
Hilbert_Phase 15m 1 4058 0.0041  -0.0103 0.495 0.013
Hilbert_Phase 15m 2 4058 -0.0010 -0.0103 0.489 0.001
Hilbert_Phase 15m 3 4058 -0.0382 -0.0653 0.473 -0.037
Hilbert_Phase 15m 4 4058 -0.0038 -0.0290 0.470 -0.004
Hilbert_Phase 15m 5 4058 0.0466  0.0122  0.513 0.052
Hilbert_Phase 15m 6 4058 0.0124  0.0085  0.514 0.023
Hilbert_Phase 15m 7 4061 -0.0145 -0.0317 0.477 -0.022
Hilbert_Phase 30m 0 4058 -0.0239 -0.0253 0.486 -0.032
Hilbert_Phase 30m 1 4058 -0.0245 -0.0325 0.482 -0.017
Hilbert_Phase 30m 2 4058 0.0394  0.0334  0.511 0.044
Hilbert_Phase 30m 3 4058 -0.0094 -0.0250 0.481 -0.009
Hilbert_Phase 30m 4 4058 -0.0394 -0.0456 0.475 -0.047
Hilbert_Phase 30m 5 4058 0.0577  0.0335  0.516 0.058
Hilbert_Phase 30m 6 4058 -0.0035 -0.0085 0.506 0.003
Hilbert_Phase 30m 7 4061 -0.0318 -0.0316 0.482 -0.038
Hilbert_Phase 1h  0 4058 0.0150  0.0093  0.499 0.000
Hilbert_Phase 1h  1 4058 -0.0210 -0.0398 0.478 -0.022
Hilbert_Phase 1h  2 4058 0.0218  0.0052  0.487 0.025
Hilbert_Phase 1h  3 4058 -0.0195 -0.0347 0.484 -0.013
Hilbert_Phase 1h  4 4058 -0.0783 -0.0846 0.459 -0.082
Hilbert_Phase 1h  5 4058 0.0386  0.0097  0.514 0.040
Hilbert_Phase 1h  6 4058 -0.0300 -0.0542 0.480 -0.024
Hilbert_Phase 1h  7 4061 -0.0716 -0.0742 0.472 -0.078



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  ----- --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  10823 0.0076    0.0075      0.503   0.011
Hawkes_Intensity 15m     VolMed  10822 0.0059    -0.0140     0.514   0.024
Hawkes_Intensity 15m     VolHigh 10822 0.0249    0.0285      0.487   -0.028
Hawkes_Intensity 30m     VolLow  10823 -0.0220   0.0097      0.506   0.017
Hawkes_Intensity 30m     VolMed  10822 -0.0008   -0.0104     0.518   0.036
Hawkes_Intensity 30m     VolHigh 10822 0.0151    0.0423      0.493   -0.034
Hawkes_Intensity 1h      VolLow  10823 0.0032    0.0061      0.517   0.030
Hawkes_Intensity 1h      VolMed  10822 0.0166    0.0550      0.528   0.057
Hawkes_Intensity 1h      VolHigh 10822 0.0075    0.0436      0.492   -0.055

Hawkes_OFI 15m VolLow  10823 -0.0030 0.0008  0.499 -0.003
Hawkes_OFI 15m VolMed  10822 -0.0272 -0.0279 0.500 -0.004
Hawkes_OFI 15m VolHigh 10822 -0.0014 0.0164  0.493 -0.002
Hawkes_OFI 30m VolLow  10823 -0.0117 -0.0016 0.493 -0.014
Hawkes_OFI 30m VolMed  10822 -0.0059 -0.0038 0.509 0.016
Hawkes_OFI 30m VolHigh 10822 -0.0137 -0.0050 0.491 -0.027
Hawkes_OFI 1h  VolLow  10823 -0.0179 -0.0165 0.513 0.025
Hawkes_OFI 1h  VolMed  10822 -0.0053 -0.0256 0.508 0.019
Hawkes_OFI 1h  VolHigh 10822 -0.0062 -0.0086 0.484 -0.054

Sig_LevyArea 15m VolLow  10823 0.0174  0.0226  0.504 0.013
Sig_LevyArea 15m VolMed  10822 0.0036  0.0364  0.514 0.023
Sig_LevyArea 15m VolHigh 10822 0.0040  -0.0085 0.489 -0.024
Sig_LevyArea 30m VolLow  10823 0.0110  0.0319  0.506 0.018
Sig_LevyArea 30m VolMed  10822 0.0103  0.0498  0.519 0.039
Sig_LevyArea 30m VolHigh 10822 -0.0072 -0.0015 0.494 -0.033
Sig_LevyArea 1h  VolLow  10823 0.0138  0.0524  0.519 0.032
Sig_LevyArea 1h  VolMed  10822 0.0412  0.0970  0.528 0.058
Sig_LevyArea 1h  VolHigh 10822 -0.0108 0.0082  0.492 -0.055

Hilbert_Phase 15m VolLow  10823 -0.0004 -0.0015 0.499 -0.011
Hilbert_Phase 15m VolMed  10822 -0.0568 -0.0545 0.467 -0.066
Hilbert_Phase 15m VolHigh 10822 0.0205  0.0182  0.502 0.029
Hilbert_Phase 30m VolLow  10823 -0.0189 -0.0161 0.493 -0.022
Hilbert_Phase 30m VolMed  10822 -0.0300 -0.0275 0.483 -0.036
Hilbert_Phase 30m VolHigh 10822 0.0042  0.0023  0.502 0.008
Hilbert_Phase 1h  VolLow  10823 -0.0255 -0.0269 0.490 -0.032
Hilbert_Phase 1h  VolMed  10822 -0.0328 -0.0211 0.479 -0.037
