MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 7 112052 0.0277  -0.0048 0.498 -0.012
Sig_LevyArea 30m 0 112051 -0.0180 -0.0069 0.509 -0.003
Sig_LevyArea 30m 1 112051 0.0217  0.0033  0.506 -0.005
Sig_LevyArea 30m 2 112051 0.0088  0.0075  0.507 0.001
Sig_LevyArea 30m 3 112051 0.0264  0.0290  0.511 0.017
Sig_LevyArea 30m 4 112051 0.0058  0.0008  0.492 -0.038
Sig_LevyArea 30m 5 112051 0.0016  0.0241  0.515 0.019
Sig_LevyArea 30m 6 112051 0.0233  0.0071  0.525 0.039
Sig_LevyArea 30m 7 112052 0.0415  -0.0000 0.501 -0.016
Sig_LevyArea 1h  0 112051 -0.0174 -0.0040 0.511 -0.005
Sig_LevyArea 1h  1 112051 0.0271  -0.0182 0.503 -0.011
Sig_LevyArea 1h  2 112051 -0.0035 0.0014  0.506 0.000
Sig_LevyArea 1h  3 112051 0.0323  0.0333  0.518 0.021
Sig_LevyArea 1h  4 112051 0.0183  0.0127  0.496 -0.049
Sig_LevyArea 1h  5 112051 0.0024  0.0281  0.527 0.029
Sig_LevyArea 1h  6 112051 0.0241  -0.0031 0.526 0.053
Sig_LevyArea 1h  7 112052 0.0298  -0.0014 0.506 -0.021

Hilbert_Phase 15m 0 112051 0.0048  -0.0269 0.481 0.007
Hilbert_Phase 15m 1 112051 0.0023  -0.0325 0.478 0.001
Hilbert_Phase 15m 2 112051 -0.0121 -0.0357 0.479 -0.012
Hilbert_Phase 15m 3 112051 0.0036  -0.0174 0.488 0.004
Hilbert_Phase 15m 4 112051 0.0018  -0.0200 0.485 0.002
Hilbert_Phase 15m 5 112051 -0.0042 -0.0352 0.476 -0.007
Hilbert_Phase 15m 6 112051 -0.0042 -0.0234 0.486 -0.003
Hilbert_Phase 15m 7 112052 -0.0061 -0.0333 0.474 -0.008
Hilbert_Phase 30m 0 112051 0.0111  -0.0135 0.490 0.012
Hilbert_Phase 30m 1 112051 0.0010  -0.0309 0.479 0.001
Hilbert_Phase 30m 2 112051 -0.0056 -0.0254 0.485 -0.005
Hilbert_Phase 30m 3 112051 0.0004  -0.0251 0.485 0.000
Hilbert_Phase 30m 4 112051 0.0021  -0.0201 0.485 0.002
Hilbert_Phase 30m 5 112051 -0.0063 -0.0340 0.478 -0.007
Hilbert_Phase 30m 6 112051 -0.0074 -0.0241 0.486 -0.007
Hilbert_Phase 30m 7 112052 0.0015  -0.0221 0.481 -0.001
Hilbert_Phase 1h  0 112051 0.0085  -0.0156 0.489 0.009
Hilbert_Phase 1h  1 112051 0.0026  -0.0219 0.486 0.001
Hilbert_Phase 1h  2 112051 -0.0047 -0.0216 0.486 -0.007
Hilbert_Phase 1h  3 112051 -0.0127 -0.0298 0.481 -0.015
Hilbert_Phase 1h  4 112051 -0.0022 -0.0215 0.485 -0.003
Hilbert_Phase 1h  5 112051 -0.0117 -0.0253 0.483 -0.012
Hilbert_Phase 1h  6 112051 -0.0023 -0.0117 0.493 0.000
Hilbert_Phase 1h  7 112052 0.0033  -0.0101 0.489 0.003



