MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Sig_LevyArea 15m 7 111770 0.0815 -0.0011 0.490 -0.007
Sig_LevyArea 30m 0 111766 0.0208 0.0412  0.513 -0.001
Sig_LevyArea 30m 1 111766 0.0587 0.0282  0.511 0.001
Sig_LevyArea 30m 2 111766 0.0951 0.0190  0.507 0.009
Sig_LevyArea 30m 3 111766 0.0317 0.0232  0.517 0.045
Sig_LevyArea 30m 4 111766 0.0785 0.0060  0.490 -0.019
Sig_LevyArea 30m 5 111766 0.0297 0.0283  0.503 0.007
Sig_LevyArea 30m 6 111766 0.0397 0.0242  0.519 0.022
Sig_LevyArea 30m 7 111770 0.1761 0.0024  0.488 -0.011
Sig_LevyArea 1h  0 111766 0.0324 0.0546  0.514 0.001
Sig_LevyArea 1h  1 111766 0.0635 0.0275  0.511 0.000
Sig_LevyArea 1h  2 111766 0.0743 0.0224  0.510 0.011
Sig_LevyArea 1h  3 111766 0.0433 0.0359  0.525 0.066
Sig_LevyArea 1h  4 111766 0.0777 0.0103  0.488 -0.022
Sig_LevyArea 1h  5 111766 0.0239 0.0262  0.505 0.013
Sig_LevyArea 1h  6 111766 0.0473 0.0076  0.516 0.030
Sig_LevyArea 1h  7 111770 0.1829 0.0020  0.490 -0.017

Hilbert_Phase 15m 0 111766 -0.0058 -0.0327 0.478 -0.007
Hilbert_Phase 15m 1 111766 -0.0037 -0.0254 0.481 -0.004
Hilbert_Phase 15m 2 111766 -0.0049 -0.0280 0.481 -0.006
Hilbert_Phase 15m 3 111766 -0.0025 -0.0273 0.484 0.000
Hilbert_Phase 15m 4 111766 -0.0052 -0.0175 0.489 -0.002
Hilbert_Phase 15m 5 111766 -0.0248 -0.0330 0.488 -0.025
Hilbert_Phase 15m 6 111766 -0.0076 -0.0159 0.494 -0.006
Hilbert_Phase 15m 7 111770 -0.0051 -0.0275 0.483 -0.005
Hilbert_Phase 30m 0 111766 -0.0071 -0.0330 0.480 -0.008
Hilbert_Phase 30m 1 111766 -0.0072 -0.0289 0.479 -0.006
Hilbert_Phase 30m 2 111766 -0.0075 -0.0280 0.483 -0.008
Hilbert_Phase 30m 3 111766 -0.0035 -0.0245 0.485 -0.002
Hilbert_Phase 30m 4 111766 -0.0098 -0.0248 0.487 -0.009
Hilbert_Phase 30m 5 111766 -0.0234 -0.0347 0.483 -0.022
Hilbert_Phase 30m 6 111766 -0.0179 -0.0242 0.488 -0.017
Hilbert_Phase 30m 7 111770 -0.0004 -0.0137 0.492 -0.001
Hilbert_Phase 1h  0 111766 0.0023  -0.0244 0.486 0.003
Hilbert_Phase 1h  1 111766 -0.0055 -0.0250 0.482 -0.005
Hilbert_Phase 1h  2 111766 -0.0095 -0.0247 0.485 -0.010
Hilbert_Phase 1h  3 111766 -0.0076 -0.0206 0.487 -0.007
Hilbert_Phase 1h  4 111766 -0.0088 -0.0134 0.494 -0.008
Hilbert_Phase 1h  5 111766 -0.0207 -0.0257 0.488 -0.019
Hilbert_Phase 1h  6 111766 -0.0196 -0.0235 0.489 -0.018
Hilbert_Phase 1h  7 111770 -0.0069 -0.0136 0.492 -0.006



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  298048 -0.0059   -0.0027     0.503   0.008
Hawkes_Intensity 15m     VolMed  298041 -0.0035   -0.0025     0.507   0.014
Hawkes_Intensity 15m     VolHigh 298043 0.0336    0.0202      0.502   0.005
Hawkes_Intensity 30m     VolLow  298045 0.0019    -0.0010     0.505   0.011
Hawkes_Intensity 30m     VolMed  298044 0.0010    0.0046      0.511   0.021
Hawkes_Intensity 30m     VolHigh 298043 0.0373    0.0225      0.503   0.007
Hawkes_Intensity 1h      VolLow  298046 -0.0019   -0.0038     0.506   0.012
Hawkes_Intensity 1h      VolMed  298043 0.0017    0.0070      0.510   0.018
Hawkes_Intensity 1h      VolHigh 298043 0.0503    0.0304      0.506   0.015

Hawkes_OFI 15m VolLow  298048 -0.0024 0.0011  0.502 0.005
Hawkes_OFI 15m VolMed  298041 -0.0195 -0.0162 0.495 -0.010
Hawkes_OFI 15m VolHigh 298043 -0.0258 -0.0297 0.485 -0.013
Hawkes_OFI 30m VolLow  298045 -0.0046 -0.0013 0.502 0.002
Hawkes_OFI 30m VolMed  298044 -0.0221 -0.0165 0.496 -0.010
Hawkes_OFI 30m VolHigh 298043 -0.0496 -0.0303 0.486 -0.015
Hawkes_OFI 1h  VolLow  298046 -0.0041 -0.0009 0.500 -0.000
Hawkes_OFI 1h  VolMed  298043 -0.0108 -0.0085 0.499 -0.005
Hawkes_OFI 1h  VolHigh 298043 -0.0520 -0.0338 0.483 -0.024

Sig_LevyArea 15m VolLow  298048 -0.0022 -0.0008 0.503 0.008
Sig_LevyArea 15m VolMed  298041 0.0037  0.0042  0.507 0.014
Sig_LevyArea 15m VolHigh 298043 0.0456  0.0215  0.502 0.005
Sig_LevyArea 30m VolLow  298045 0.0021  0.0028  0.505 0.011
Sig_LevyArea 30m VolMed  298044 0.0126  0.0086  0.511 0.021
Sig_LevyArea 30m VolHigh 298043 0.0670  0.0250  0.503 0.007
Sig_LevyArea 1h  VolLow  298046 -0.0039 -0.0050 0.506 0.012
Sig_LevyArea 1h  VolMed  298043 0.0084  0.0060  0.510 0.019
Sig_LevyArea 1h  VolHigh 298043 0.0744  0.0340  0.507 0.015

Hilbert_Phase 15m VolLow  298048 -0.0168 -0.0157 0.491 -0.019
Hilbert_Phase 15m VolMed  298041 -0.0386 -0.0365 0.479 -0.044
Hilbert_Phase 15m VolHigh 298043 -0.0007 -0.0143 0.484 0.002
Hilbert_Phase 30m VolLow  298045 -0.0160 -0.0156 0.491 -0.018
Hilbert_Phase 30m VolMed  298044 -0.0368 -0.0342 0.480 -0.041
